time,dt,u,v,depth_center,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773370380.0434556,0.09570121765136719,44,170,4029.0,-2.1871675022949035,-1.301538663713027,4.029,nan,nan,nan
1773370380.2571712,0.09567594528198242,447,149,4317.0,0.7089448342400861,-1.553635860525564,4.317,nan,nan,nan
1773370380.4550529,0.062306880950927734,415,149,4317.0,0.4665662803525863,-1.553635860525564,4.317,nan,nan,nan
1773370380.5462403,0.09563517570495605,447,150,4649.0,0.7634664198244523,-1.6649617920549868,4.649,nan,nan,nan
1773370380.647114,0.09561920166015625,237,138,4317.0,-0.8816644256466316,-1.6369534884243921,4.317,nan,nan,nan
1773370380.7171898,0.09560990333557129,80,173,3555.0,-1.7053082235606363,-1.1297043467375107,3.555,nan,nan,nan
1773370380.8349576,0.09559369087219238,154,175,3555.0,-1.2437425661945214,-1.1172295992411292,3.555,nan,nan,nan
1773370380.9423645,0.06223917007446289,230,175,4649.0,-1.0065669052131037,-1.4610409020737016,4.649,nan,nan,nan
1773370381.026311,0.0955653190612793,298,174,3555.0,-0.3455607464550544,-1.1234669729893199,3.555,nan,nan,nan
1773370381.1423278,0.06220817565917969,303,174,4029.0,-0.35629039474264745,-1.2732625693878958,4.029,nan,nan,nan
1773370381.2338362,0.09553837776184082,274,175,4029.0,-0.5612920785998498,-1.266193545806613,4.029,nan,nan,nan
1773370381.3244956,0.09552526473999023,252,175,4029.0,-0.7168105973880723,-1.266193545806613,4.029,nan,nan,nan
1773370381.5818038,0.09549522399902344,269,175,3777.0,-0.5593196056600048,-1.1869975235819255,3.777,nan,nan,nan
1773370381.6523917,0.09548258781433105,324,175,4317.0,-0.2226977322649914,-1.3567032854919703,4.317,nan,nan,nan
1773370381.7895985,0.09546613693237305,353,176,3777.0,-0.002661632568308445,-1.1803706429498813,3.777,nan,nan,nan
1773370381.9012482,0.028783559799194336,378,175,4317.0,0.1863160774201646,-1.3567032854919703,4.317,nan,nan,nan
1773370381.9505103,0.09543824195861816,478,134,3357.0,0.7338813038627624,-1.2964931575899297,3.357,nan,nan,nan
1773370382.0867605,0.09542655944824219,426,175,3777.0,0.48110065357090387,-1.1869975235819255,3.777,nan,nan,nan
1773370382.1938229,0.09540700912475586,454,174,3777.0,0.666653311268136,-1.1936244042139694,3.777,nan,nan,nan
1773370382.3098981,0.06205487251281738,481,173,3555.0,0.7958786494638515,-1.1297043467375107,3.555,nan,nan,nan
1773370382.3877788,0.09537887573242188,507,172,3555.0,0.9580503669168108,-1.1359417204857014,3.555,nan,nan,nan
1773370382.482011,0.09537100791931152,534,171,3777.0,1.1968037618316563,-1.2135050461101013,3.777,nan,nan,nan
1773370382.5576413,0.09535360336303711,562,168,3555.0,1.3011059230673017,-1.1608912154784643,3.555,nan,nan,nan
1773370382.6860764,0.02866840362548828,560,167,4317.0,1.56484410265532,-1.4172979239638452,4.317,nan,nan,nan
1773370382.733586,0.09532880783081055,544,169,4029.0,1.3473442883465174,-1.30860768729431,4.029,nan,nan,nan
1773370382.866248,0.09531450271606445,514,169,4029.0,1.135273580908032,-1.30860768729431,4.029,nan,nan,nan
1773370382.9929664,0.09529852867126465,486,171,4029.0,0.9373409206321125,-1.2944696401317444,4.029,nan,nan,nan
1773370383.0860882,0.09528708457946777,457,171,4029.0,0.7323392367749101,-1.2944696401317444,4.029,nan,nan,nan
1773370383.2155097,0.09527015686035156,425,173,4029.0,0.5061304821738591,-1.2803315929691785,4.029,nan,nan,nan
1773370383.3350277,0.061914920806884766,385,174,4029.0,0.22336953892254555,-1.2732625693878958,4.029,nan,nan,nan
1773370383.414134,0.0952444076538086,344,174,4317.0,-0.07121113608530401,-1.3642776153009548,4.317,nan,nan,nan
1773370383.4678926,0.09522724151611328,293,173,6043.0,-0.6404179574203873,-1.9203384999535238,6.043,nan,nan,nan
1773370383.5923738,0.0952155590057373,471,132,3777.0,0.779310282012884,-1.4719533907598175,3.777,nan,nan,nan
1773370383.7240834,0.09519743919372559,206,174,4317.0,-1.1164686497251473,-1.3642776153009548,4.317,nan,nan,nan
1773370383.81008,0.0951840877532959,172,173,4029.0,-1.2823324838906998,-1.2803315929691785,4.029,nan,nan,nan
1773370383.9434924,0.06183004379272461,145,172,4029.0,-1.4731961205853363,-1.2874006165504615,4.029,nan,nan,nan
1773370384.0355265,0.0951547622680664,116,170,4029.0,-1.6781978044425385,-1.301538663713027,4.029,nan,nan,nan
1773370384.1013956,0.09514737129211426,89,170,4029.0,-1.8690614411371753,-1.301538663713027,4.029,nan,nan,nan
1773370384.1812482,0.09513163566589355,64,169,4029.0,-2.0457870306692465,-1.30860768729431,4.029,nan,nan,nan
1773370384.2977877,0.09511470794677734,521,145,4317.0,1.2694452401049297,-1.5839331797615015,4.317,nan,nan,nan
1773370384.3753374,0.09515929222106934,81,169,3357.0,-1.6044390556456765,-1.0903440075073216,3.357,nan,nan,nan
1773370384.502134,0.061746835708618164,63,169,4029.0,-2.0528560542505296,-1.30860768729431,4.029,nan,nan,nan
1773370384.569705,0.02840113639831543,518,144,4317.0,1.2467222506779765,-1.5915075095704858,4.317,nan,nan,nan
1773370384.6030545,0.0950624942779541,101,170,3357.0,-1.4866395413127576,-1.0844540317906757,3.357,nan,nan,nan
1773370384.7258103,0.09504508972167969,372,137,4317.0,0.14087009856625837,-1.6445278182333765,4.317,nan,nan,nan
1773370384.8468902,0.02836132049560547,208,175,3777.0,-0.9635593242146892,-1.1869975235819255,3.777,nan,nan,nan
1773370384.8804345,0.09501981735229492,273,175,3555.0,-0.501495090159823,-1.1172295992411292,3.555,nan,nan,nan
1773370385.0147781,0.09500408172607422,339,173,3555.0,-0.08982842277923395,-1.1297043467375107,3.555,nan,nan,nan
1773370385.1502821,0.09499263763427734,343,175,4317.0,-0.07878546589428838,-1.3567032854919703,4.317,nan,nan,nan
1773370385.251795,0.09497618675231934,386,173,3555.0,0.20332814338573094,-1.1297043467375107,3.555,nan,nan,nan
1773370385.3181546,0.09496378898620605,457,171,3555.0,0.6461816795072737,-1.1421790942338923,3.555,nan,nan,nan
1773370385.4509358,0.09494829177856445,493,172,3555.0,0.8707271344421404,-1.1359417204857014,3.555,nan,nan,nan
1773370385.5898747,0.06159186363220215,537,171,3357.0,1.081389871144873,-1.07856405607403,3.357,nan,nan,nan
1773370385.6701431,0.09491968154907227,511,171,4029.0,1.1140665101641836,-1.2944696401317444,4.029,nan,nan,nan
1773370385.7977586,0.09490251541137695,530,172,3777.0,1.1702962393034804,-1.2068781654780574,3.777,nan,nan,nan
1773370385.8908467,0.09488916397094727,539,170,4029.0,1.311999170440103,-1.301538663713027,4.029,nan,nan,nan
1773370386.0083008,0.061536312103271484,535,171,4317.0,1.3754858574307107,-1.387000604727908,4.317,nan,nan,nan
1773370386.0966182,0.0948636531829834,536,171,4317.0,1.383060187239695,-1.387000604727908,4.317,nan,nan,nan
1773370386.223978,0.0948476791381836,510,170,4317.0,1.1861276122061013,-1.3945749345368923,4.317,nan,nan,nan
1773370386.3107479,0.09483575820922852,475,171,4029.0,0.8595816612380012,-1.2944696401317444,4.029,nan,nan,nan
1773370386.4395337,0.061479806900024414,440,172,4317.0,0.6559245255771955,-1.3794262749189234,4.317,nan,nan,nan
1773370386.514169,0.09480476379394531,394,174,4317.0,0.30750535436391446,-1.3642776153009548,4.317,nan,nan,nan
1773370386.60451,0.09479618072509766,358,174,4029.0,0.03250590222790885,-1.2732625693878958,4.029,nan,nan,nan
1773370386.7048373,0.09478187561035156,320,174,4317.0,-0.2529950515009289,-1.3642776153009548,4.317,nan,nan,nan
1773370386.8518875,0.09476184844970703,279,174,4317.0,-0.5635425736692881,-1.3642776153009548,4.317,nan,nan,nan
1773370386.9194858,0.09475374221801758,237,175,4029.0,-0.8228459511073148,-1.266193545806613,4.029,nan,nan,nan
1773370387.0081117,0.09473586082458496,197,175,4029.0,-1.1056068943586286,-1.266193545806613,4.029,nan,nan,nan
1773370387.1226022,0.02805042266845703,160,174,4029.0,-1.3671607668660937,-1.2732625693878958,4.029,nan,nan,nan
1773370387.159455,0.0947122573852539,607,148,4317.0,1.9208376036775854,-1.5612101903345483,4.317,nan,nan,nan
1773370387.2952192,0.0946958065032959,335,141,4317.0,-0.13938010436616335,-1.614230498997439,4.317,nan,nan,nan
1773370387.411681,0.0613400936126709,77,172,4029.0,-1.9538897241125694,-1.2874006165504615,4.029,nan,nan,nan
1773370387.5330641,0.09466671943664551,69,171,4029.0,-2.010441912762832,-1.2944696401317444,4.029,nan,nan,nan
1773370387.5671089,0.09465503692626953,80,173,3357.0,-1.6103290313623224,-1.0667841046407378,3.357,nan,nan,nan
1773370387.689186,0.061298370361328125,343,140,4317.0,-0.07878546589428838,-1.6218048288064233,4.317,nan,nan,nan
1773370387.784466,0.09462666511535645,133,174,3555.0,-1.374727414906527,-1.1234669729893199,3.555,nan,nan,nan
1773370387.853205,0.09461045265197754,171,174,3555.0,-1.1377072124752787,-1.1234669729893199,3.555,nan,nan,nan
1773370387.9806228,0.09459710121154785,216,174,3555.0,-0.8570253938066953,-1.1234669729893199,3.555,nan,nan,nan
1773370388.098068,0.09458470344543457,644,139,4649.0,2.3703630328769796,-1.7546869836467525,4.649,nan,nan,nan
1773370388.1947796,0.09456872940063477,645,140,4317.0,2.2086621364189916,-1.6218048288064233,4.317,nan,nan,nan
1773370388.2658923,0.09455680847167969,225,175,3555.0,-0.8008890300729786,-1.1172295992411292,3.555,nan,nan,nan
1773370388.3783808,0.09454059600830078,302,173,3555.0,-0.32061125146229147,-1.1297043467375107,3.555,nan,nan,nan
1773370388.4619403,0.09452342987060547,360,174,3777.0,0.04372653185599958,-1.1936244042139694,3.777,nan,nan,nan
1773370388.5910277,0.06117415428161621,359,173,4029.0,0.03957492580919169,-1.2803315929691785,4.029,nan,nan,nan
1773370388.6309114,0.09450101852416992,413,175,3777.0,0.3949512053543318,-1.1869975235819255,3.777,nan,nan,nan
1773370388.6625712,0.09448409080505371,665,121,4649.0,2.5416565804612596,-1.9015100244332779,4.649,nan,nan,nan
1773370388.783678,0.09447240829467773,469,171,3555.0,0.7210301644855627,-1.1421790942338923,3.555,nan,nan,nan
1773370388.8989282,0.09445953369140625,482,172,3555.0,0.8021160232120422,-1.1359417204857014,3.555,nan,nan,nan
1773370389.0144198,0.027773141860961914,411,175,4317.0,0.4362689611166488,-1.3567032854919703,4.317,nan,nan,nan
1773370389.0418074,0.09442830085754395,641,129,4317.0,2.178364817183054,-1.7051224567052514,4.317,nan,nan,nan
1773370389.1810844,0.09441280364990234,658,122,4649.0,2.4845587312664996,-1.8933531888340263,4.649,nan,nan,nan
1773370389.2655957,0.09439849853515625,432,172,4029.0,0.5556136472428391,-1.2874006165504615,4.029,nan,nan,nan
1773370389.3943012,0.09438967704772949,647,125,4317.0,2.22381079603696,-1.735419775941189,4.317,nan,nan,nan
1773370389.5055115,0.09437346458435059,401,125,3555.0,0.2968887496085921,-1.4290982866506663,3.555,nan,nan,nan
1773370389.6171262,0.09435653686523438,551,130,4317.0,1.4966751343744606,-1.697548126896267,4.317,nan,nan,nan
1773370389.655895,0.09434628486633301,528,130,4317.0,1.32246554876782,-1.697548126896267,4.317,nan,nan,nan
1773370389.7896407,0.0943295955657959,665,131,4317.0,2.3601487325986787,-1.6899737970872826,4.317,nan,nan,nan
1773370389.9046745,0.09431958198547363,389,135,8634.0,0.5392674106379853,-3.31935295570269,8.634,nan,nan,nan
1773370390.0962262,0.09430599212646484,323,137,7554.0,-0.40293610305925714,-2.877637975199195,7.554,nan,nan,nan
1773370390.1353934,0.09428858757019043,130,119,3357.0,-1.3158302455300253,-1.3848427933396188,3.357,nan,nan,nan
1773370390.2517655,0.0276031494140625,446,145,4317.0,0.7013705044311018,-1.5839331797615015,4.317,nan,nan,nan
1773370390.4356954,0.09424448013305664,20,126,3357.0,-1.963727574361079,-1.343612963323097,3.357,nan,nan,nan
1773370390.5517607,0.09423613548278809,326,150,4317.0,-0.20754907264702266,-1.5460615307165795,4.317,nan,nan,nan
1773370390.6651816,0.09422016143798828,247,151,4029.0,-0.7521557152944865,-1.4358501117574012,4.029,nan,nan,nan
1773370390.6914544,0.09420347213745117,199,149,4317.0,-1.1694889583880377,-1.553635860525564,4.317,nan,nan,nan
1773370390.8232324,0.0941929817199707,183,147,4317.0,-1.2906782353317876,-1.5687845201435326,4.317,nan,nan,nan
1773370390.9460573,0.09417891502380371,315,155,5036.0,-0.3393107954479741,-1.759380181630407,5.036,nan,nan,nan
1773370391.051896,0.09416556358337402,263,148,6715.0,-1.0650855633232683,-2.428428637502083,6.715,nan,nan,nan
1773370391.1218176,0.0941462516784668,253,149,4317.0,-0.7604751487028817,-1.553635860525564,4.317,nan,nan,nan
1773370391.2404227,0.027463197708129883,246,149,5036.0,-0.9489838135960225,-1.812395226686759,5.036,nan,nan,nan
1773370391.2677567,0.09412479400634766,321,148,6715.0,-0.3817466171325938,-2.428428637502083,6.715,nan,nan,nan
1773370391.3916593,0.09410667419433594,489,184,4649.0,1.1060535149930115,-1.387629381680439,4.649,nan,nan,nan
1773370391.4935086,0.09411144256591797,22,126,3555.0,-2.0670759009556994,-1.4228609129024756,3.555,nan,nan,nan
1773370391.6014855,0.09407687187194824,44,119,3357.0,-1.8223681571615762,-1.3848427933396188,3.357,nan,nan,nan
1773370391.7220223,0.027391910552978516,60,116,3357.0,-1.7281285456952413,-1.4025127204895567,3.357,nan,nan,nan
1773370391.7460265,0.09405303001403809,81,123,3357.0,-1.6044390556456765,-1.361282890473035,3.357,nan,nan,nan
1773370391.8766851,0.09403777122497559,108,120,3357.0,-1.445409711296236,-1.3789528176229728,3.357,nan,nan,nan
1773370391.9750473,0.0940251350402832,134,124,3357.0,-1.2922703426634414,-1.355392914756389,3.357,nan,nan,nan
1773370392.0976193,0.09400820732116699,342,137,4649.0,-0.0930013180969458,-1.7710006548452553,4.649,nan,nan,nan
1773370392.2295647,0.09403157234191895,342,138,4317.0,-0.08635979570327275,-1.6369534884243921,4.317,nan,nan,nan
1773370392.3545208,0.06064009666442871,159,117,3357.0,-1.1450209497472932,-1.3966227447729107,3.357,nan,nan,nan
1773370392.438004,0.09396719932556152,638,135,7554.0,3.7719986951284654,-2.9041454977273715,7.554,nan,nan,nan
1773370392.556568,0.09395074844360352,671,131,8634.0,4.81118942290517,-3.379947594174565,8.634,nan,nan,nan
1773370392.6812422,0.09393954277038574,367,120,3555.0,0.08481804217010686,-1.46028515539162,3.555,nan,nan,nan
1773370392.8500884,0.09391212463378906,465,118,3555.0,0.6960806694927996,-1.4727599028880014,3.555,nan,nan,nan
